product_id,contract_address,symbol,type,Price_Increment_x18,Size_Increment,Min_Size,Min_Depth_x18,Max_Spread_Rate_x18,Maker_Fee_Rate_x18,Taker_Fee_Rate_x18,Long_Weight_Initial_x18,Long_Weight_Maintenance_x18,
68,0xfe8b7baf68952bac2c04f386223d2013c1b4c601,STX-PERP,perp,100000000000000,1E+019,9E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
70,0x9c8764ec71f175c97c6c2fd558eb6546fcdbea32,NEAR-PERP,perp,100000000000000,5E+018,4E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
72,0x94d31188982c8eccf243e555b22dc57de1dba4e1,LDO-PERP,perp,100000000000000,4E+018,5E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
74,0x407c5e2fadd7555be927c028bc358daa907c797a,FIL-PERP,perp,100000000000000,3E+018,2.5E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
76,0x7e97da2dbbbdd7fb313cf9dc0581ac7cec999c70,WLD-PERP,perp,100000000000000,5E+018,5E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
78,0x7f8d2662f64dd468c423805f98a6579ad59b28fa,ICP-PERP,perp,100000000000000,1E+018,1.25E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
80,0x3398adf63fed17cbadd6080a1fb771e6a2a55958,DOT-PERP,perp,100000000000000,2E+018,2.5E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
82,0xba8910a1d7ab62129729047d453091a1e6356170,TRX-PERP,perp,1000000000000,1E+020,1.5E+022,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
84,0xdc054bce222fe725da0f17abcef38253bd8bb745,GALA-PERP,perp,1000000000000,5E+020,7E+022,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
86,0xca21693467d0a5ea9e10a5a7c5044b9b3837e694,ATOM-PERP,perp,100000000000000,1E+018,1.5E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
88,0xe0b02de2139256dbae55cf350094b882fbe629ea,APE-PERP,perp,100000000000000,1E+019,1E+021,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
90,0x02c38368a6f53858aab5a3a8d91d73eb59edf9b9,JUP-PERP,perp,10000000000000,2E+019,2E+021,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
