workflow_name,workflow_schedule
dbt_run_scheduled_non_realtime,"12 * * * *"
dbt_run_streamline_chainhead,"5,35 * * * *"
dbt_run_streamline_decoder,"23 * * * *"
dbt_run_scheduled_curated,"30 */6 * * *"
dbt_test_intraday,"30 */4 * * *"
dbt_run_streamline_decoded_logs_history,"5 11 * * 6"
dbt_run_abi_refresh,"10 23 * * *"
